,Name
1096,Selene
1097,Senator Kelly
1098,Sentinel
1099,Sentinels
1100,Sentry (Robert Reynolds)
1101,Ser Duncan
1102,Serpent Society
1103,Sersi
1104,Shadow King
1105,Shadow King (Age of Apocalypse)
1106,Shadowcat
1107,Shadowcat (Age of Apocalypse)
1108,Shadowcat (Ultimate)
1109,Shadu the Shady
1110,Shalla-bal
1111,Shaman
1112,Shane Yamada-Jones
1113,Shang-Chi
1114,Shang-Chi (Ultimate)
1115,Shanna the She-Devil
1116,Shape
1117,Shard
1118,Sharon Carter
1119,Sharon Ventura
1120,Shatterstar
1121,She-Hulk (HAS)
1122,She-Hulk (Jennifer Walters)
1123,She-Hulk (Lyra)
1124,She-Hulk (Marvel War of Heroes)
1125,She-Hulk (Ultimate)
1126,Shen
1127,Sheva Callister
1128,Shi'Ar
1129,Shinko Yamashiro
1130,Shinobi Shaw
1131,Shiva
1132,Shiver Man
1133,Shocker (Herman Schultz)
1134,Shockwave
1135,Shooting Star
1136,Shotgun
1137,Shriek
1138,Sif
1139,Silhouette
1140,Silk Fever
1141,Silver Centurion
1142,Silver Fox
1143,Silver Sable
1144,Silver Samurai
1145,Silver Samurai (Age of Apocalypse)
1146,Silver Surfer
1147,Silverclaw
1148,Silvermane
1149,Sin
1150,Sinister Six
1151,Sir Ram
1152,Siren (Earth-93060)
1153,Sister Grimm
1154,Skaar
1155,Skaar (HAS)
1156,Skin
1157,Skreet
1158,Skrulls
1159,Skrulls (Ultimate)
1160,Skullbuster (Cylla Markham)
1161,Slapstick
1162,Slayback
1163,Sleeper
1164,Sleepwalker
1165,Slipstream
1166,Slyde
1167,Smasher (Vril Rokk)
1168,Smiling Tiger
1169,Snowbird
1170,Solo (James Bourne)
1171,Songbird
1172,Sons of the Tiger
1173,Spacker Dave
1174,Spectrum
1175,Speed
1176,Speed Demon
1177,Speedball (Robert Baldwin)
1178,Spencer Smythe
1179,Sphinx (Anath-Na Mut)
1180,Spider-dok
1181,Spider-Girl (Anya Corazon)
1182,Spider-Girl (May Parker)
1183,Spider-Gwen (Spider-Gwen)
1184,Spider-Ham (Larval Earth)
1185,Spider-Man
1186,Spider-Man (1602)
1187,Spider-Man (2099)
1188,Spider-Man (Ai Apaec)
1189,Spider-Man (Ben Reilly)
1190,Spider-Man (House of M)
1191,Spider-Man (LEGO Marvel Super Heroes)
1192,Spider-Man (Marvel Zombies)
1193,Spider-Man (Marvel: Avengers Alliance)
1194,Spider-Man (Miles Morales)
1195,Spider-Man (Noir)
1196,Spider-Man (Takuya Yamashiro)
1197,Spider-Man (Ultimate)
1198,Spider-Woman (Charlotte Witter)
1199,Spider-Woman (Jessica Drew)
1200,Spider-Woman (Mattie Franklin)
1201,Spiral (Rita Wayword)
1202,Spirit
1203,Spitfire
1204,Spot
1205,Sprite
1206,Spyke
1207,Squadron Sinister
1208,Squadron Supreme (Earth-712)
1209,Squirrel Girl
1210,Stacy X
1211,Stacy X (Ultimate)
1212,Star Brand
1213,Star-Lord (Peter Quill)
1214,Starbolt
1215,Stardust
1216,Starfox
1217,Starhawk (Stakar Ogord)
1218,Starjammers
1219,Stark Industries
1220,Stature
1221,Steel Serpent (Davos)
1222,Stellaris
1223,Stepford Cuckoos
1224,Stephanie de la Spiroza
1225,Stephen Strange
1226,Steve Rogers
1227,Stick
1228,Stilt-Man (Wibur Day)
1229,Stingray (Walter Newell)
1230,Stone Men
1231,Storm
1232,Storm (Age of Apocalypse)
1233,Storm (Marvel Heroes)
1234,Storm (Ultimate)
1235,Stranger
1236,Strong Guy
1237,Stryfe
1238,Stryfe (Ultimate)
1239,Sub-Mariner
1240,Sue Storm
1241,Sugar Man
1242,Sumo
1243,Sunfire
1244,Sunfire (Age of Apocalypse)
1245,Sunset Bain
1246,Sunspot
1247,Super Hero Squad
1248,Super-Adaptoid
1249,Super-Skrull
1250,Supernaut
1251,Supreme Intelligence
1252,Surge
1253,Susan Delgado
1254,Swarm
1255,Sway
1256,Switch
1257,Swordsman
1258,Swordsman (Jaques Duquesne)
1259,Sym
1260,Synch
1261,T'Challa
1262,Tag
1263,Talisman (Elizabeth Twoyoungmen)
1264,Talkback (Chase Stein)
1265,Talon (Fraternity of Raptors)
1266,Talos
1267,Tana Nile
1268,Tarantula (Luis Alvarez)
1269,Tarot
1270,Taskmaster
1271,Tattoo
1272,Ted Forrester
1273,Tempest
1274,Tenebrous
1275,Terrax
1276,Terror
1277,Texas Twister
1278,Thaddeus Ross
1279,Thanos
1280,Thanos (Ultimate)
1281,The 198
1282,The Anarchist
1283,The Call
1284,The Captain
1285,The Enforcers
