,date,future,subgroup,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo
196,2017-03-29,False,All polls,41.20364,46.0816,36.32568,52.53189,57.80197,47.26182
197,2017-03-29,False,Voters,43.23234,48.12896,38.33572,51.65588,56.73108,46.58068
198,2017-03-30,False,Adults,40.11081,44.79861,35.42301,54.028,59.98937,48.06663
199,2017-03-30,False,All polls,40.63618,45.51982,35.75254,53.55639,59.13385,47.97892
200,2017-03-30,False,Voters,42.78091,47.72739,37.83444,51.80407,56.74441,46.86372
201,2017-03-31,False,Adults,40.448,45.17403,35.72196,53.2771,59.34482,47.20937
202,2017-03-31,False,All polls,40.48179,45.32975,35.63383,53.06938,58.63694,47.50181
203,2017-03-31,False,Voters,41.77287,46.84838,36.69736,51.91686,56.71685,47.11687
204,2017-04-01,False,Adults,40.55445,45.26672,35.84218,53.32457,59.41961,47.22953
205,2017-04-01,False,All polls,40.54905,45.38779,35.7103,53.0927,58.68511,47.50028
206,2017-04-01,False,Voters,41.77287,46.84838,36.69736,51.91686,56.71685,47.11687
207,2017-04-02,False,Adults,40.39359,45.16575,35.62142,53.45893,59.59847,47.31939
208,2017-04-02,False,All polls,40.44848,45.32938,35.56758,53.17198,58.80313,47.54082
209,2017-04-02,False,Voters,41.77287,46.84838,36.69736,51.91686,56.71685,47.11687
210,2017-04-03,False,Adults,39.61414,44.69081,34.53746,53.89282,59.91079,47.87486
211,2017-04-03,False,All polls,39.84783,44.92455,34.77111,53.59146,59.18995,47.99298
212,2017-04-03,False,Voters,41.49263,46.54613,36.43912,52.28128,57.25156,47.311
213,2017-04-04,False,Adults,40.50948,45.69217,35.32678,53.39999,59.1553,47.64467
214,2017-04-04,False,All polls,40.01525,45.26242,34.76808,53.67127,59.05883,48.2837
215,2017-04-04,False,Voters,41.28366,46.88392,35.6834,52.73132,57.75137,47.71127
216,2017-04-05,False,Adults,40.98213,45.88659,36.07767,52.87018,58.4521,47.28827
217,2017-04-05,False,All polls,40.66016,45.7916,35.52871,53.16607,58.42831,47.90383
218,2017-04-05,False,Voters,41.72259,47.24487,36.20031,52.42102,57.31507,47.52696
219,2017-04-06,False,Adults,40.51774,45.51066,35.52483,53.72948,59.73963,47.71933
220,2017-04-06,False,All polls,40.41075,45.60198,35.21951,53.69882,59.2783,48.11934
221,2017-04-06,False,Voters,41.74047,47.29905,36.1819,52.44887,57.36218,47.53556
222,2017-04-07,False,Adults,40.42915,45.2564,35.60189,54.0258,59.83382,48.21779
223,2017-04-07,False,All polls,40.38835,45.4526,35.32409,53.89001,59.34081,48.43921
224,2017-04-07,False,Voters,41.51286,46.80249,36.22323,52.79503,57.599,47.99107
225,2017-04-08,False,Adults,40.44548,45.27812,35.61284,53.98016,59.79935,48.16096
226,2017-04-08,False,All polls,40.40128,45.47359,35.32896,53.86125,59.32256,48.39995
227,2017-04-08,False,Voters,41.51286,46.80249,36.22323,52.79503,57.599,47.99107
228,2017-04-09,False,Adults,40.46673,45.30285,35.63061,53.93581,59.76171,48.10991
229,2017-04-09,False,All polls,40.41701,45.49614,35.33789,53.82942,59.29893,48.35992
230,2017-04-09,False,Voters,41.51286,46.80249,36.22323,52.79503,57.599,47.99107
231,2017-04-10,False,Adults,41.15395,45.86559,36.44231,52.99094,58.75322,47.22866
232,2017-04-10,False,All polls,40.87731,45.83553,35.91909,53.21894,58.66856,47.76932
233,2017-04-10,False,Voters,41.39298,46.71243,36.07354,52.95179,57.82961,48.07397
234,2017-04-11,False,Adults,41.84169,46.86845,36.81492,52.17405,58.11969,46.22842
235,2017-04-11,False,All polls,41.51326,46.72686,36.29965,52.52065,58.12492,46.91638
236,2017-04-11,False,Voters,42.56668,48.27353,36.85984,51.78368,56.98209,46.58527
237,2017-04-12,False,Adults,41.62653,46.5685,36.68455,52.25298,58.06441,46.44155
238,2017-04-12,False,All polls,41.64417,46.87432,36.41402,52.36113,57.88984,46.83242
239,2017-04-12,False,Voters,42.83318,48.376,37.29036,51.76783,56.88817,46.64748
240,2017-04-13,False,Adults,41.22889,46.25507,36.20272,52.85146,58.95934,46.74358
241,2017-04-13,False,All polls,41.44421,46.76628,36.12213,52.70598,58.45796,46.95399
242,2017-04-13,False,Voters,42.90318,48.45972,37.34663,51.71242,56.7949,46.62994
243,2017-04-14,False,Adults,41.0928,46.019,36.16659,52.42646,58.40254,46.45038
244,2017-04-14,False,All polls,41.27088,46.42637,36.11538,51.87616,57.45,46.30231
245,2017-04-14,False,Voters,42.73984,48.22797,37.25171,50.934,55.76231,46.10569
246,2017-04-15,False,Adults,41.01736,45.97337,36.06135,52.42741,58.41444,46.44038
247,2017-04-15,False,All polls,41.23275,46.41501,36.0505,51.88008,57.46936,46.2908
248,2017-04-15,False,Voters,42.73984,48.22797,37.25171,50.934,55.76231,46.10569
249,2017-04-16,False,Adults,41.17042,46.12373,36.21711,52.25262,58.22296,46.28227
250,2017-04-16,False,All polls,41.34031,46.52293,36.1577,51.77214,57.3511,46.19318
